drug1,drug2,similarity
DB00655,DB00122,0.15
DB00988,DB00122,0.965
DB00987,DB00122,0.53
DB00783,DB00122,0.393
DB00936,DB00122,0.208
DB01103,DB00122,0.231
DB00640,DB00122,0.517
DB03128,DB00122,0.998
DB00917,DB00122,0.22
DB00973,DB00122,0.153
DB01098,DB00122,0.153
DB00495,DB00122,0.175
DB01586,DB00122,0.153
DB00715,DB00122,0.191
DB01043,DB00122,0.271
DB00458,DB00122,0.183
DB01095,DB00122,0.153
DB01248,DB00122,0.22
DB00320,DB00122,0.195
DB01396,DB00122,0.233
DB01151,DB00122,0.22
DB00887,DB00122,0.293
DB00321,DB00122,0.15
DB00915,DB00122,0.151
DB00819,DB00122,0.347
DB00382,DB00122,0.643
DB04557,DB00122,0.703
DB00734,DB00122,0.217
DB01035,DB00122,0.265
DB01400,DB00122,0.466
DB00810,DB00122,0.357
DB00759,DB00987,0.254
DB00537,DB00987,0.15
DB00446,DB00987,0.173
DB00541,DB00987,0.792
DB00523,DB00987,0.579
DB00755,DB00987,0.579
DB00675,DB00987,0.21
DB00877,DB00987,0.359
DB00635,DB00987,0.67
DB00860,DB00987,0.574
DB01229,DB00987,0.479
DB00959,DB00987,0.529
DB00563,DB00987,0.859
DB00158,DB00987,0.351
DB00544,DB00987,0.844
DB00773,DB00987,0.885
DB00313,DB00987,0.404
DB00115,DB00987,0.233
DB01394,DB00987,0.255
DB00661,DB00987,0.238
DB00201,DB00987,0.24
DB00437,DB00987,0.299
DB00445,DB00987,0.858
DB00997,DB00987,0.858
DB00134,DB00987,0.435
DB00122,DB00987,0.53
DB00640,DB00987,0.991
DB01268,DB00987,0.219
DB01254,DB00987,0.411
DB00398,DB00987,0.436
DB00530,DB00987,0.18
DB00317,DB00987,0.173
DB00570,DB00987,0.466
DB00495,DB00987,0.664
DB00361,DB00987,0.299
DB00619,DB00987,0.638
DB01037,DB00987,0.15
DB00811,DB00987,0.431
DB00715,DB00987,0.173
DB01204,DB00987,0.804
DB01177,DB00987,0.89
DB01248,DB00987,0.343
DB00320,DB00987,0.151
DB00694,DB00987,0.911
DB00276,DB00987,0.701
DB00382,DB00987,0.328
DB00242,DB00987,0.788
DB04557,DB00987,0.19
DB01097,DB00987,0.259
DB01167,DB00987,0.176
DB00759,DB00668,0.259
DB00831,DB00668,0.259
DB00537,DB00668,0.154
DB01212,DB00668,0.208
DB01327,DB00668,0.214
DB00564,DB00668,0.153
DB00316,DB00668,0.468
DB00446,DB00668,0.908
DB00254,DB00668,0.269
DB04216,DB00668,0.155
DB00559,DB00668,0.15
DB00412,DB00668,0.91
DB00641,DB00668,0.17
DB00594,DB00668,0.498
DB00541,DB00668,0.151
DB00523,DB00668,0.382
DB00755,DB00668,0.382
DB01124,DB00668,0.412
DB00373,DB00668,0.821
DB00624,DB00668,0.588
DB00675,DB00668,0.296
DB00428,DB00668,0.642
DB00421,DB00668,0.23
DB00203,DB00668,0.23
DB00206,DB00668,0.651
DB00877,DB00668,0.231
DB00863,DB00668,0.388
DB00571,DB00668,0.909
DB03322,DB00668,0.909
DB01069,DB00668,0.405
DB00396,DB00668,0.574
DB00635,DB00668,0.421
DB00860,DB00668,0.356
DB00457,DB00668,0.795
DB01132,DB00668,0.15
DB01174,DB00668,0.181
DB01092,DB00668,0.65
DB01054,DB00668,0.184
DB01183,DB00668,0.591
DB00295,DB00668,0.769
DB00471,DB00668,0.23
DB00834,DB00668,0.21
DB00683,DB00668,0.657
DB01011,DB00668,0.37
DB00959,DB00668,0.526
DB00563,DB00668,0.269
DB00678,DB00668,0.537
DB01009,DB00668,0.216
DB01026,DB00668,0.238
DB01221,DB00668,0.577
DB00328,DB00668,0.614
DB00281,DB00668,0.879
DB01050,DB00668,0.471
DB00741,DB00668,0.972
DB00502,DB00668,0.409
DB01016,DB00668,0.298
DB00695,DB00668,0.538
DB00158,DB00668,0.386
DB00712,DB00668,0.28
DB00472,DB00668,0.441
DB00544,DB00668,0.151
DB00903,DB00668,0.19
DB00584,DB00668,0.286
DB00313,DB00668,0.258
DB01075,DB00668,0.532
DB00343,DB00668,0.463
DB00255,DB00668,0.582
DB00586,DB00668,0.386
DB00829,DB00668,0.528
DB00182,DB00668,0.683
DB00443,DB00668,0.156
DB01234,DB00668,0.156
DB00470,DB00668,0.184
DB00115,DB00668,0.173
DB01394,DB00668,0.937
DB00907,DB00668,0.764
DB00363,DB00668,0.352
DB00758,DB00668,0.5
DB00575,DB00668,0.884
DB00501,DB00668,0.937
DB00477,DB00668,0.387
DB01114,DB00668,0.359
DB00608,DB00668,0.263
DB00439,DB00668,0.232
DB00482,DB00668,0.295
DB00661,DB00668,0.56
DB00201,DB00668,0.974
DB00542,DB00668,0.159
DB00945,DB00668,0.758
DB00277,DB00668,0.685
DB00252,DB00668,0.357
DB00445,DB00668,0.27
DB00997,DB00668,0.27
DB00788,DB00668,0.172
DB00140,DB00668,0.206
DB00468,DB00668,0.936
DB00908,DB00668,0.936
DB00368,DB00668,0.999
DB00184,DB00668,0.717
DB00627,DB00668,0.923
DB01065,DB00668,0.958
DB00134,DB00668,0.403
DB00451,DB00668,0.634
DB01235,DB00668,0.753
DB00655,DB00668,0.244
DB00988,DB00668,0.996
DB00783,DB00668,0.548
DB00936,DB00668,0.21
DB00122,DB00668,0.942
DB01103,DB00668,0.187
DB00640,DB00668,0.967
DB03128,DB00668,0.984
DB00917,DB00668,0.964
DB00570,DB00668,0.156
DB01586,DB00668,0.9
DB00440,DB00668,0.257
DB01037,DB00668,0.348
DB00715,DB00668,0.517
DB00401,DB00668,0.171
DB00264,DB00668,0.626
DB00333,DB00668,0.209
DB00458,DB00668,0.286
DB00813,DB00668,0.783
DB00927,DB00668,0.172
DB00320,DB00668,0.504
DB00390,DB00668,0.412
DB01151,DB00668,0.64
DB01136,DB00668,0.31
DB00921,DB00668,0.219
DB00887,DB00668,0.358
DB00321,DB00668,0.273
DB01118,DB00668,0.467
DB00819,DB00668,0.55
DB01577,DB00668,0.426
DB04557,DB00668,0.793
DB00802,DB00668,0.358
DB00285,DB00668,0.153
DB01104,DB00668,0.501
DB00734,DB00668,0.152
DB01035,DB00668,0.462
DB00334,DB00668,0.154
DB01400,DB00668,0.479
DB00704,DB00668,0.283
DB00696,DB00668,0.478
DB01184,DB00668,0.274
DB01242,DB00668,0.151
DB00215,DB00668,0.209
DB01175,DB00668,0.209
DB00490,DB00668,0.174
DB00669,DB00668,0.218
DB00178,DB00668,0.216
DB01337,DB00668,0.412
DB00211,DB00668,0.36
DB00968,DB00668,0.666
DB00590,DB00668,0.326
DB00280,DB00668,0.155
DB01200,DB00668,0.362
DB01193,DB00668,0.436
DB00455,DB00668,0.155
DB00332,DB00668,0.416
DB00176,DB00668,0.214
DB01100,DB00668,0.165
DB01580,DB00668,0.344
DB00925,DB00668,0.447
DB00759,DB00468,0.499
DB00831,DB00468,0.341
DB01165,DB00468,0.374
DB00199,DB00468,0.575
DB00537,DB00468,0.451
DB01212,DB00468,0.213
DB00564,DB00468,0.388
DB00316,DB00468,0.494
DB00446,DB00468,0.917
DB00254,DB00468,0.647
DB04216,DB00468,0.23
DB00641,DB00468,0.208
DB00594,DB00468,0.725
DB00541,DB00468,0.296
DB00197,DB00468,0.256
DB00523,DB00468,0.174
DB00755,DB00468,0.174
DB01124,DB00468,0.498
DB00373,DB00468,0.177
DB00624,DB00468,0.356
DB00675,DB00468,0.333
DB00421,DB00468,0.364
DB00203,DB00468,0.151
DB00740,DB00468,0.179
DB00206,DB00468,0.387
DB00863,DB00468,0.394
DB00571,DB00468,0.805
DB03322,DB00468,0.805
DB01069,DB00468,0.192
DB00396,DB00468,0.343
DB01032,DB00468,0.342
DB00635,DB00468,0.265
DB00860,DB00468,0.269
DB00457,DB00468,0.319
DB00812,DB00468,0.213
DB01174,DB00468,0.582
DB01229,DB00468,0.497
DB01092,DB00468,0.577
DB01054,DB00468,0.218
DB01183,DB00468,0.155
DB00295,DB00468,0.473
DB00683,DB00468,0.3
DB01110,DB00468,0.388
DB01011,DB00468,0.379
DB00959,DB00468,0.15
DB00563,DB00468,0.266
DB00227,DB00468,0.175
DB00836,DB00468,0.371
DB00555,DB00468,0.511
DB01026,DB00468,0.798
DB01221,DB00468,0.157
DB00328,DB00468,0.217
DB00281,DB00468,0.945
DB01050,DB00468,0.22
DB00741,DB00468,0.273
DB00502,DB00468,0.35
DB01016,DB00468,0.476
DB01241,DB00468,0.282
DB00695,DB00468,0.453
DB00158,DB00468,0.418
DB00472,DB00468,0.81
DB00773,DB00468,0.186
DB00313,DB00468,0.257
DB01075,DB00468,0.272
DB00343,DB00468,0.579
DB00255,DB00468,0.197
DB00586,DB00468,0.293
DB00829,DB00468,0.631
DB00182,DB00468,0.314
DB01394,DB00468,0.952
DB00907,DB00468,0.449
DB00363,DB00468,0.176
DB00257,DB00468,0.454
DB00758,DB00468,0.235
DB00575,DB00468,0.17
DB00501,DB00468,0.723
DB00477,DB00468,0.388
DB01114,DB00468,0.214
DB00608,DB00468,0.994
DB00439,DB00468,0.215
DB00661,DB00468,0.941
DB00201,DB00468,0.96
DB00945,DB00468,0.453
DB01435,DB00468,0.317
DB00277,DB00468,0.524
DB00437,DB00468,0.258
DB00252,DB00468,0.833
DB00445,DB00468,0.541
DB00997,DB00468,0.541
DB00788,DB00468,0.173
DB00368,DB00468,0.933
DB00184,DB00468,0.392
DB00627,DB00468,0.9
DB01065,DB00468,0.9
DB00134,DB00468,0.233
DB00451,DB00468,0.168
DB00668,DB00468,0.936
DB01235,DB00468,0.174
DB00988,DB00468,0.943
DB00783,DB00468,0.196
DB00936,DB00468,0.404
DB00122,DB00468,0.936
DB01103,DB00468,0.652
DB00640,DB00468,0.925
DB03128,DB00468,0.949
DB00917,DB00468,0.908
DB00602,DB00468,0.378
DB01045,DB00468,0.469
DB01388,DB00468,0.338
DB01211,DB00468,0.772
DB00570,DB00468,0.617
DB00495,DB00468,0.26
DB00440,DB00468,0.463
DB00715,DB00468,0.677
DB01059,DB00468,0.282
DB00401,DB00468,0.165
DB01204,DB00468,0.182
DB00264,DB00468,0.449
DB00333,DB00468,0.391
DB00371,DB00468,0.428
DB01043,DB00468,0.157
DB00358,DB00468,0.949
DB00458,DB00468,0.502
DB00927,DB00468,0.196
DB01248,DB00468,0.349
DB00320,DB00468,0.28
DB00390,DB00468,0.862
DB01396,DB00468,0.296
DB01151,DB00468,0.299
DB00694,DB00468,0.333
DB01136,DB00468,0.344
DB00887,DB00468,0.388
DB01244,DB00468,0.456
DB00321,DB00468,0.465
DB01118,DB00468,0.957
DB00915,DB00468,0.216
DB00518,DB00468,0.27
DB00819,DB00468,0.361
DB00382,DB00468,0.177
DB04557,DB00468,0.311
DB00285,DB00468,0.218
DB01104,DB00468,0.258
DB00734,DB00468,0.215
DB01182,DB00468,0.924
DB01035,DB00468,0.975
DB03783,DB00468,0.358
DB00334,DB00468,0.152
DB00704,DB00468,0.175
DB01184,DB00468,0.172
DB00514,DB00468,0.651
DB01242,DB00468,0.217
DB00215,DB00468,0.235
DB01175,DB00468,0.235
DB01224,DB00468,0.15
DB01337,DB00468,0.226
DB00968,DB00468,0.264
DB00590,DB00468,0.211
DB00280,DB00468,0.962
DB01193,DB00468,0.215
DB00656,DB00468,0.153
DB01167,DB00468,0.482
DB01142,DB00468,0.176
DB00342,DB00468,0.725
DB00643,DB00468,0.21
DB00332,DB00468,0.178
DB00967,DB00468,0.178
DB00176,DB00468,0.503
DB01100,DB00468,0.4
DB01580,DB00468,0.163
DB01149,DB00468,0.178
DB00810,DB00468,0.292
DB00637,DB00468,0.681
DB00344,DB00468,0.151
DB00925,DB00468,0.211
DB00759,DB00908,0.499
DB00831,DB00908,0.341
DB01165,DB00908,0.374
DB00199,DB00908,0.575
DB00537,DB00908,0.451
DB01212,DB00908,0.213
DB00564,DB00908,0.388
DB00316,DB00908,0.494
DB00446,DB00908,0.917
DB00254,DB00908,0.647
DB04216,DB00908,0.23
DB00641,DB00908,0.208
DB00594,DB00908,0.725
DB00541,DB00908,0.296
DB00197,DB00908,0.256
DB00523,DB00908,0.174
DB00755,DB00908,0.174
DB01124,DB00908,0.498
DB00373,DB00908,0.177
DB00624,DB00908,0.356
DB00675,DB00908,0.333
DB00421,DB00908,0.364
DB00203,DB00908,0.151
DB00740,DB00908,0.179
DB00206,DB00908,0.387
DB00863,DB00908,0.394
DB00571,DB00908,0.805
DB03322,DB00908,0.805
DB01069,DB00908,0.192
DB00396,DB00908,0.343
DB01032,DB00908,0.342
DB00635,DB00908,0.265
DB00860,DB00908,0.269
DB00457,DB00908,0.319
DB00812,DB00908,0.213
DB01174,DB00908,0.582
DB01229,DB00908,0.497
DB01092,DB00908,0.577
DB01054,DB00908,0.218
DB01183,DB00908,0.155
DB00295,DB00908,0.473
DB00683,DB00908,0.3
DB01110,DB00908,0.388
DB01011,DB00908,0.379
DB00959,DB00908,0.15
DB00563,DB00908,0.266
DB00227,DB00908,0.175
DB00836,DB00908,0.371
DB00555,DB00908,0.511
DB01026,DB00908,0.798
DB01221,DB00908,0.157
DB00328,DB00908,0.217
DB00281,DB00908,0.945
DB01050,DB00908,0.22
DB00741,DB00908,0.273
DB00502,DB00908,0.35
DB01016,DB00908,0.476
DB01241,DB00908,0.282
DB00695,DB00908,0.453
DB00158,DB00908,0.418
DB00472,DB00908,0.81
DB00773,DB00908,0.186
DB00313,DB00908,0.257
DB01075,DB00908,0.272
DB00343,DB00908,0.579
DB00255,DB00908,0.197
DB00586,DB00908,0.293
DB00829,DB00908,0.631
DB00182,DB00908,0.314
DB01394,DB00908,0.952
DB00907,DB00908,0.449
DB00363,DB00908,0.176
DB00257,DB00908,0.454
DB00758,DB00908,0.235
DB00575,DB00908,0.17
DB00501,DB00908,0.723
DB00477,DB00908,0.388
DB01114,DB00908,0.214
DB00608,DB00908,0.994
DB00439,DB00908,0.215
DB00661,DB00908,0.941
DB00201,DB00908,0.96
DB00945,DB00908,0.453
DB01435,DB00908,0.317
DB00277,DB00908,0.524
DB00437,DB00908,0.258
DB00252,DB00908,0.833
DB00445,DB00908,0.541
DB00997,DB00908,0.541
DB00788,DB00908,0.173
DB00368,DB00908,0.933
DB00184,DB00908,0.392
DB00627,DB00908,0.9
DB01065,DB00908,0.9
DB00134,DB00908,0.233
DB00451,DB00908,0.168
DB00668,DB00908,0.936
DB01235,DB00908,0.174
DB00988,DB00908,0.943
DB00783,DB00908,0.196
DB00936,DB00908,0.404
DB00122,DB00908,0.936
DB01103,DB00908,0.652
DB00640,DB00908,0.925
DB03128,DB00908,0.949
DB00917,DB00908,0.908
DB00602,DB00908,0.378
DB01045,DB00908,0.469
DB01388,DB00908,0.338
DB01211,DB00908,0.772
DB00570,DB00908,0.617
DB00495,DB00908,0.26
DB00440,DB00908,0.463
DB00715,DB00908,0.677
DB01059,DB00908,0.282
DB00401,DB00908,0.165
DB01204,DB00908,0.182
DB00264,DB00908,0.449
DB00333,DB00908,0.391
DB00371,DB00908,0.428
DB01043,DB00908,0.157
DB00358,DB00908,0.949
DB00458,DB00908,0.502
DB00927,DB00908,0.196
DB01248,DB00908,0.349
DB00320,DB00908,0.28
DB00390,DB00908,0.862
DB01396,DB00908,0.296
DB01151,DB00908,0.299
DB00694,DB00908,0.333
DB01136,DB00908,0.344
DB00887,DB00908,0.388
DB01244,DB00908,0.456
DB00321,DB00908,0.465
DB01118,DB00908,0.957
DB00915,DB00908,0.216
DB00518,DB00908,0.27
DB00819,DB00908,0.361
DB00382,DB00908,0.177
DB04557,DB00908,0.311
DB00285,DB00908,0.218
DB01104,DB00908,0.258
DB00734,DB00908,0.215
DB01182,DB00908,0.924
DB01035,DB00908,0.975
DB03783,DB00908,0.358
DB00334,DB00908,0.152
DB00704,DB00908,0.175
DB01184,DB00908,0.172
DB00514,DB00908,0.651
DB01242,DB00908,0.217
DB00215,DB00908,0.235
DB01175,DB00908,0.235
DB01224,DB00908,0.15
DB01337,DB00908,0.226
DB00968,DB00908,0.264
DB00590,DB00908,0.211
DB00280,DB00908,0.962
DB01193,DB00908,0.215
DB00656,DB00908,0.153
DB01167,DB00908,0.482
DB01142,DB00908,0.176
DB00342,DB00908,0.725
DB00643,DB00908,0.21
DB00332,DB00908,0.178
DB00967,DB00908,0.178
DB00176,DB00908,0.503
DB01100,DB00908,0.4
DB01580,DB00908,0.163
DB01149,DB00908,0.178
DB00810,DB00908,0.292
DB00637,DB00908,0.681
DB00344,DB00908,0.151
DB00925,DB00908,0.211
DB00759,DB00518,0.324
DB00199,DB00518,0.176
DB00537,DB00518,0.174
DB01212,DB00518,0.154
DB00316,DB00518,0.23
DB00446,DB00518,0.155
DB00254,DB00518,0.41
DB00541,DB00518,0.434
DB00635,DB00518,0.23
DB00860,DB00518,0.354
DB01229,DB00518,0.418
DB01110,DB00518,0.32
DB00959,DB00518,0.179
DB00836,DB00518,0.174
DB01026,DB00518,0.157
DB00158,DB00518,0.333
DB00443,DB00518,0.217
DB01234,DB00518,0.217
DB01394,DB00518,0.452
DB00257,DB00518,0.285
DB00575,DB00518,0.19
DB00501,DB00518,0.246
DB00477,DB00518,0.163
DB00608,DB00518,0.218
DB00252,DB00518,0.174
DB00468,DB00518,0.27
DB00908,DB00518,0.27
DB00368,DB00518,0.15
DB00134,DB00518,0.356
DB01103,DB00518,0.601
DB00602,DB00518,0.954
DB01045,DB00518,0.184
DB00570,DB00518,0.418
DB00495,DB00518,0.155
DB00440,DB00518,0.325
DB00811,DB00518,0.359
DB00358,DB00518,0.179
DB00458,DB00518,0.15
DB01248,DB00518,0.371
DB01167,DB00518,0.218
DB00643,DB00518,0.95
DB00759,DB00490,0.162
DB00831,DB00490,0.195
DB00199,DB00490,0.257
DB00564,DB00490,0.554
DB00624,DB00490,0.155
DB00203,DB00490,0.2
DB00740,DB00490,0.26
DB00206,DB00490,0.339
DB00571,DB00490,0.546
DB03322,DB00490,0.546
DB01069,DB00490,0.17
DB00396,DB00490,0.216
DB00457,DB00490,0.396
DB01174,DB00490,0.265
DB01183,DB00490,0.365
DB00295,DB00490,0.452
DB00683,DB00490,0.647
DB01011,DB00490,0.16
DB00678,DB00490,0.251
DB00555,DB00490,0.351
DB01026,DB00490,0.276
DB01050,DB00490,0.263
DB00741,DB00490,0.532
DB00502,DB00490,0.649
DB00712,DB00490,0.19
DB00472,DB00490,0.837
DB00313,DB00490,0.473
DB01075,DB00490,0.356
DB00343,DB00490,0.151
DB00255,DB00490,0.211
DB00829,DB00490,0.9
DB00182,DB00490,0.451
DB00470,DB00490,0.151
DB00907,DB00490,0.487
DB00363,DB00490,0.576
DB00575,DB00490,0.615
DB00501,DB00490,0.156
DB00477,DB00490,0.299
DB00661,DB00490,0.193
DB00201,DB00490,0.394
DB00277,DB00490,0.174
DB00252,DB00490,0.283
DB00368,DB00490,0.554
DB00184,DB00490,0.376
DB01065,DB00490,0.23
DB00668,DB00490,0.174
DB01235,DB00490,0.394
DB00988,DB00490,0.683
DB03128,DB00490,0.301
DB01211,DB00490,0.248
DB01037,DB00490,0.283
DB00715,DB00490,0.71
DB00264,DB00490,0.151
DB00333,DB00490,0.298
DB00371,DB00490,0.296
DB01043,DB00490,0.218
DB00458,DB00490,0.808
DB00623,DB00490,0.209
DB01151,DB00490,0.594
DB00321,DB00490,0.598
DB00915,DB00490,0.426
DB00285,DB00490,0.734
DB01104,DB00490,0.747
DB00734,DB00490,0.637
DB00334,DB00490,0.51
DB01595,DB00490,0.323
DB00704,DB00490,0.417
DB00690,DB00490,0.594
DB00696,DB00490,0.541
DB01184,DB00490,0.188
DB00514,DB00490,0.368
DB01242,DB00490,0.654
DB00215,DB00490,0.662
DB01175,DB00490,0.662
DB00669,DB00490,0.648
DB01224,DB00490,0.468
DB01200,DB00490,0.353
DB00656,DB00490,0.789
DB01167,DB00490,0.155
DB01142,DB00490,0.385
DB00342,DB00490,0.172
DB00176,DB00490,0.664
DB01100,DB00490,0.344
DB00726,DB00490,0.268
DB01580,DB00490,0.232
DB01149,DB00490,0.519
DB00934,DB00490,0.344
DB00349,DB00490,0.172
DB00344,DB00490,0.21
DB00759,DB00201,0.177
DB00831,DB00201,0.385
DB01165,DB00201,0.208
DB00199,DB00201,0.23
DB00537,DB00201,0.277
DB00564,DB00201,0.674
DB00316,DB00201,0.642
DB00446,DB00201,0.91
DB00554,DB00201,0.156
DB01645,DB00201,0.32
DB04216,DB00201,0.367
DB00641,DB00201,0.172
DB01393,DB00201,0.152
DB00594,DB00201,0.32
DB00523,DB00201,0.258
DB00755,DB00201,0.258
DB01124,DB00201,0.596
DB00373,DB00201,0.199
DB00624,DB00201,0.545
DB00675,DB00201,0.305
DB00605,DB00201,0.169
DB00428,DB00201,0.218
DB00421,DB00201,0.15
DB00203,DB00201,0.478
DB00533,DB00201,0.151
DB00206,DB00201,0.385
DB00877,DB00201,0.391
DB00863,DB00201,0.31
DB00571,DB00201,0.688
DB03322,DB00201,0.688
DB01069,DB00201,0.23
DB00396,DB00201,0.492
DB01032,DB00201,0.315
DB00635,DB00201,0.156
DB00860,DB00201,0.289
DB00457,DB00201,0.274
DB01132,DB00201,0.15
DB00812,DB00201,0.171
DB01174,DB00201,0.523
DB01229,DB00201,0.152
DB01092,DB00201,0.45
DB01054,DB00201,0.273
DB01183,DB00201,0.427
DB00295,DB00201,0.709
DB00683,DB00201,0.756
DB01110,DB00201,0.166
DB00563,DB00201,0.296
DB00227,DB00201,0.17
DB00678,DB00201,0.338
DB00836,DB00201,0.262
DB00555,DB00201,0.321
DB01009,DB00201,0.326
DB01026,DB00201,0.421
DB01221,DB00201,0.424
DB00328,DB00201,0.384
DB00281,DB00201,0.704
DB01050,DB00201,0.669
DB00741,DB00201,0.723
DB00502,DB00201,0.45
DB01016,DB00201,0.32
DB01241,DB00201,0.331
DB00695,DB00201,0.287
DB00158,DB00201,0.475
DB00712,DB00201,0.317
DB00472,DB00201,0.438
DB00544,DB00201,0.168
DB00773,DB00201,0.298
DB00584,DB00201,0.229
DB00313,DB00201,0.44
DB01075,DB00201,0.343
DB00343,DB00201,0.388
DB00255,DB00201,0.554
DB00586,DB00201,0.388
DB00829,DB00201,0.821
DB00182,DB00201,0.902
DB00470,DB00201,0.465
DB00115,DB00201,0.23
DB01394,DB00201,0.918
DB00907,DB00201,0.834
DB00363,DB00201,0.513
DB00257,DB00201,0.161
DB00758,DB00201,0.462
DB00575,DB00201,0.436
DB00501,DB00201,0.394
DB00477,DB00201,0.564
DB01114,DB00201,0.29
DB00608,DB00201,0.33
DB00439,DB00201,0.298
DB00482,DB00201,0.155
DB00661,DB00201,0.626
DB00945,DB00201,0.695
DB01435,DB00201,0.694
DB00277,DB00201,0.978
DB00437,DB00201,0.23
DB00252,DB00201,0.688
DB00445,DB00201,0.378
DB00997,DB00201,0.378
DB00788,DB00201,0.449
DB00140,DB00201,0.23
DB00468,DB00201,0.96
DB00908,DB00201,0.96
DB00368,DB00201,0.979
DB00184,DB00201,0.939
DB00627,DB00201,0.936
DB01065,DB00201,0.976
DB00134,DB00201,0.239
DB00451,DB00201,0.345
DB00668,DB00201,0.974
DB01235,DB00201,0.528
DB00655,DB00201,0.219
DB00988,DB00201,0.979
DB00987,DB00201,0.24
DB00783,DB00201,0.45
DB00936,DB00201,0.47
DB00122,DB00201,0.334
DB00640,DB00201,0.995
DB03128,DB00201,0.973
DB00917,DB00201,0.925
DB01045,DB00201,0.189
DB01211,DB00201,0.223
DB00495,DB00201,0.191
DB00440,DB00201,0.34
DB01037,DB00201,0.375
DB00811,DB00201,0.282
DB00715,DB00201,0.299
DB01059,DB00201,0.261
DB00401,DB00201,0.246
DB00264,DB00201,0.44
DB00333,DB00201,0.4
DB00371,DB00201,0.154
DB01043,DB00201,0.23
DB00458,DB00201,0.615
DB00813,DB00201,0.54
DB00927,DB00201,0.16
DB00320,DB00201,0.273
DB00390,DB00201,0.485
DB01151,DB00201,0.379
DB00921,DB00201,0.248
DB00321,DB00201,0.385
DB01118,DB00201,0.209
DB00915,DB00201,0.38
DB00819,DB00201,0.461
DB00382,DB00201,0.287
DB01577,DB00201,0.517
DB04557,DB00201,0.288
DB00802,DB00201,0.21
DB00285,DB00201,0.326
DB01104,DB00201,0.378
DB00734,DB00201,0.273
DB01035,DB00201,0.513
DB03783,DB00201,0.729
DB00334,DB00201,0.258
DB01595,DB00201,0.413
DB01400,DB00201,0.293
DB00704,DB00201,0.295
DB00690,DB00201,0.195
DB00696,DB00201,0.577
DB01184,DB00201,0.209
DB00514,DB00201,0.754
DB01242,DB00201,0.346
DB00215,DB00201,0.297
DB01175,DB00201,0.297
DB00490,DB00201,0.394
DB00669,DB00201,0.436
DB00178,DB00201,0.195
DB01224,DB00201,0.214
DB00211,DB00201,0.173
DB01200,DB00201,0.306
DB00656,DB00201,0.273
DB01167,DB00201,0.313
DB00977,DB00201,0.168
DB01142,DB00201,0.195
DB00342,DB00201,0.153
DB00176,DB00201,0.444
DB01100,DB00201,0.234
DB01149,DB00201,0.172
DB00759,DB00257,0.168
DB00831,DB00257,0.378
DB01165,DB00257,0.353
DB00199,DB00257,0.209
DB00537,DB00257,0.374
DB00564,DB00257,0.174
DB00316,DB00257,0.151
DB00446,DB00257,0.171
DB00254,DB00257,0.151
DB00641,DB00257,0.193
DB00594,DB00257,0.156
DB00624,DB00257,0.258
DB00675,DB00257,0.15
DB01138,DB00257,0.155
DB00206,DB00257,0.15
DB00175,DB00257,0.258
DB01174,DB00257,0.469
DB01229,DB00257,0.201
DB01092,DB00257,0.179
DB01054,DB00257,0.176
DB00834,DB00257,0.158
DB01110,DB00257,0.972
DB01011,DB00257,0.341
DB00227,DB00257,0.252
DB00836,DB00257,0.614
DB01026,DB00257,0.904
DB00328,DB00257,0.354
DB01050,DB00257,0.154
DB01016,DB00257,0.33
DB01241,DB00257,0.282
DB00472,DB00257,0.282
DB00586,DB00257,0.264
DB00501,DB00257,0.404
DB00608,DB00257,0.168
DB00201,DB00257,0.161
DB00252,DB00257,0.208
DB00468,DB00257,0.454
DB00908,DB00257,0.454
DB00783,DB00257,0.207
DB01103,DB00257,0.171
DB03128,DB00257,0.212
DB01045,DB00257,0.402
DB01388,DB00257,0.282
DB01211,DB00257,0.462
DB00440,DB00257,0.282
DB00715,DB00257,0.282
DB01059,DB00257,0.344
DB00887,DB00257,0.272
DB01118,DB00257,0.282
DB00915,DB00257,0.166
DB00518,DB00257,0.285
DB04557,DB00257,0.373
DB01167,DB00257,0.876
DB00342,DB00257,0.152
DB00176,DB00257,0.282
DB00637,DB00257,0.23
DB00759,DB00694,0.42
DB00831,DB00694,0.369
DB01165,DB00694,0.201
DB00199,DB00694,0.256
DB00537,DB00694,0.28
DB01645,DB00694,0.209
DB04216,DB00694,0.23
DB00541,DB00694,0.947
DB00523,DB00694,0.622
DB00755,DB00694,0.622
DB00675,DB00694,0.397
DB00428,DB00694,0.232
DB00206,DB00694,0.178
DB00877,DB00694,0.218
DB01032,DB00694,0.516
DB00635,DB00694,0.64
DB00860,DB00694,0.679
DB01229,DB00694,0.745
DB00959,DB00694,0.208
DB00563,DB00694,0.725
DB00328,DB00694,0.291
DB00281,DB00694,0.348
DB00502,DB00694,0.164
DB00158,DB00694,0.349
DB00544,DB00694,0.597
DB00773,DB00694,0.908
DB00255,DB00694,0.264
DB01394,DB00694,0.668
DB00501,DB00694,0.539
DB00608,DB00694,0.215
DB00661,DB00694,0.779
DB00437,DB00694,0.316
DB00445,DB00694,0.997
DB00997,DB00694,0.997
DB00468,DB00694,0.333
DB00908,DB00694,0.333
DB00987,DB00694,0.911
DB01103,DB00694,0.283
DB01268,DB00694,0.325
DB01254,DB00694,0.239
DB00398,DB00694,0.271
DB00530,DB00694,0.24
DB00317,DB00694,0.258
DB00570,DB00694,0.894
