drug1,drug2,similarity
DB00257,DB00316,0.151
DB00758,DB00316,0.259
DB00575,DB00316,0.386
DB00501,DB00316,0.374
DB00477,DB00316,0.374
DB01114,DB00316,0.479
DB00608,DB00316,0.657
DB00439,DB00316,0.271
DB00482,DB00316,0.576
DB00661,DB00316,0.23
DB00201,DB00316,0.642
DB00945,DB00316,0.949
DB01435,DB00316,0.56
DB00277,DB00316,0.491
DB00437,DB00316,0.38
DB00252,DB00316,0.474
DB00445,DB00316,0.176
DB00997,DB00316,0.176
DB00788,DB00316,0.669
DB00140,DB00316,0.15
DB00468,DB00316,0.494
DB00908,DB00316,0.494
DB00368,DB00316,0.293
DB00184,DB00316,0.368
DB01065,DB00316,0.208
DB00134,DB00316,0.406
DB00451,DB00316,0.173
DB00668,DB00316,0.468
DB01235,DB00316,0.157
DB00988,DB00316,0.274
DB00783,DB00316,0.241
DB00936,DB00316,0.554
DB00122,DB00316,0.171
DB00640,DB00316,0.177
DB03128,DB00316,0.255
DB00917,DB00316,0.417
DB01045,DB00316,0.359
DB01211,DB00316,0.169
DB00495,DB00316,0.34
DB00440,DB00316,0.234
DB00811,DB00316,0.169
DB00715,DB00316,0.23
DB00264,DB00316,0.274
DB00333,DB00316,0.593
DB00371,DB00316,0.176
DB00358,DB00316,0.271
DB00458,DB00316,0.296
DB00813,DB00316,0.753
DB00927,DB00316,0.176
DB00320,DB00316,0.29
DB00390,DB00316,0.31
DB00861,DB00316,0.329
DB00921,DB00316,0.621
DB01244,DB00316,0.194
DB00321,DB00316,0.505
DB01118,DB00316,0.227
DB00915,DB00316,0.157
DB00518,DB00316,0.23
DB00819,DB00316,0.151
DB04557,DB00316,0.938
DB00802,DB00316,0.471
DB00285,DB00316,0.274
DB01104,DB00316,0.177
DB00734,DB00316,0.172
DB03783,DB00316,0.836
DB00334,DB00316,0.179
DB01400,DB00316,0.474
DB00704,DB00316,0.223
DB00696,DB00316,0.388
DB01184,DB00316,0.273
DB00514,DB00316,0.358
DB01242,DB00316,0.15
DB00215,DB00316,0.23
DB01175,DB00316,0.23
DB00790,DB00316,0.158
DB00669,DB00316,0.388
DB00178,DB00316,0.218
DB01224,DB00316,0.157
DB00968,DB00316,0.208
DB00500,DB00316,0.257
DB01097,DB00316,0.23
DB01167,DB00316,0.153
DB00977,DB00316,0.155
DB00342,DB00316,0.153
DB00643,DB00316,0.211
DB00455,DB00316,0.335
DB00332,DB00316,0.156
DB00759,DB00945,0.406
DB01165,DB00945,0.2
DB00199,DB00945,0.261
DB00537,DB00945,0.21
DB01212,DB00945,0.23
DB01327,DB00945,0.19
DB00564,DB00945,0.433
DB00316,DB00945,0.949
DB00446,DB00945,0.209
DB00254,DB00945,0.217
DB00554,DB00945,0.778
DB00795,DB00945,0.389
DB01645,DB00945,0.173
DB04216,DB00945,0.401
DB00559,DB00945,0.209
DB00412,DB00945,0.434
DB00641,DB00945,0.716
DB01393,DB00945,0.23
DB00594,DB00945,0.216
DB00541,DB00945,0.274
DB00549,DB00945,0.431
DB00177,DB00945,0.385
